Hawaiian Pizza,10,99,Basic Pizza,6,99,Cheeze Pizza,8,99,,,
Nasi Ayam Gepuk,6,99,Nasi Ayam Geprek,6,99,Nasi Indonesia,5,99,,,
Caramel Machiato Coffee,8,99,Latte Coffee,5,99,Iced Coffee,3,99,,,
Tuna,5,99,Salmon,5,99,Sashimi,5,99,california roll,4,99
Beef Taco,7,99,Spicy Taco,9,99,Normal Taco,5,99,,,
Beef Tomyam,20,99,Tomyam 2pax,18,99,Tomyam Gung,15,99,,,
PadThai,4,99,Thai Fried Rice,7,99,Roti Thai,5,99,,,
Beef Chop,18,99,Chicken Chop,15,99,Lamb Chop,20,99,,,
Maggi Goreng,5,99,Maggi Gorend Double,9,99,Nasi Goreng Kampung,8,99,,,
Roti Telur,3,99,Roti Kosong,1,99,Noan Garlic Butter,9,99,,,
fake meal 1,999,99,fake meal 2,999,99,fake meal 3,999,99,fake meal 4,999,99
